Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
1680|5001378|270|UMXU885458|63|2026-01-08 18:09:02|
1680|5083929|240|UMXU246240|22|2026-01-19 09:16:02|
3129|6000603|240|600|56|2026-01-21 12:03:03|
1680|5000827|240|17-AS-6L|56|2026-01-27 11:36:02|
1680|5087442|240|UMXU889021|22|2026-01-23 11:10:08|
1669|5023108|430|CAAU9135095|3|2026-01-06 10:08:00|
1680|5000912|240|UMXU257122|22|2026-01-14 12:06:02|
3949|5104818|071|53860|56|2026-01-07 14:41:01|
1680|5001378|270|EMHU650042|63|2026-01-08 18:09:02|
1669|6900631|430|HAMU4240447|3|2026-01-13 11:45:01|
1680|5035180|800|150779.|22|2026-01-19 16:02:02|
1680|5083929|240|UMXU890267|22|2026-01-19 09:16:02|
1680|5083929|240|SNLU201600|22|2026-01-19 09:16:02|
1680|5001378|270|UMXU891120|63|2026-01-08 18:09:02|
1680|5083929|240|UMXU251623|22|2026-01-19 09:16:02|
1680|5087442|240|UMXU246872|22|2026-01-23 11:10:08|
3129|5026337|240|782336|56|2026-01-14 09:03:03|
1680|5083929|240|UMXU934206|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU888316|22|2026-01-19 09:16:02|
3129|6000613|240|11466|56|2026-01-21 16:01:11|
3949|5001068|070|UMXU633387|22|2026-01-05 19:55:00|
1680|5000912|240|535146|56|2026-01-14 12:06:02|
1680|5000912|240|UMXU268291|22|2026-01-14 12:06:02|
3949|5104818|071|53425|56|2026-01-07 14:41:01|
