Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
3949|6020001|670|84099999|734|6|0|5521|2026-01-13 15:53:00|
3147|6001012|650|87082999|13|6|0|309|2026-01-16 12:14:01|
3949|5104836|071|85258999|5|3|21|15975|2026-01-09 15:44:01|
3147|6001014|650|85371099|37|3|0|44|2026-01-20 11:43:01|
3949|6020001|670|85129007|1324|3|0|424|2026-01-13 15:53:00|
1680|5000866|240|84133099|222|3|21|3402|2026-01-27 17:59:02|
3147|5038653|470|87081099|79|6|6|33|2026-01-29 22:06:01|
1669|5003140|510|85122099|159|3|21|1032|2026-01-13 17:37:00|
3147|6001388|470|85371099|1|3|0|90|2026-01-26 16:05:02|
3949|6020001|670|87087006|2685|3|0|315|2026-01-13 15:53:00|
3147|6001012|650|40161001|413|3|0|6|2026-01-16 12:14:01|
3949|6020001|670|35069199|11|3|0|399|2026-01-13 15:53:00|
3147|6001012|650|87084099|41|3|0|340|2026-01-16 12:14:01|
3147|6001012|650|40169304|47|3|0|4|2026-01-16 12:14:01|
3147|6001012|650|85443099|239|6|0|108|2026-01-16 12:14:01|
3147|6001012|650|85443099|141|3|0|87|2026-01-16 12:14:01|
3949|6020001|670|87081099|1579|3|0|9536|2026-01-13 15:53:00|
3147|6001012|650|85013103|473|6|0|98|2026-01-16 12:14:01|
3949|5104836|071|85176217|9|3|21|13370|2026-01-09 15:44:01|
3949|6020001|670|85437099|1517|3|0|163|2026-01-13 15:53:00|
3949|6020001|670|39263002|78|3|0|60|2026-01-13 15:53:00|
