Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClavePermiso|FirmaDescargo|NumeroPermiso|ValorComercialDolares|CantidadMUMTarifa|FechaPagoReal
1680|6024621|240|27101902|2|NM|NYC-2402C0AL00127|NOM-116-SCFI-2018|6004.66|2768.07400|2026-01-19 12:53:03|
1669|6900415|510|87043199|1|CP||25VEH001135/9901|3338580.00|84.00000|2026-01-21 13:38:01|
1680|6024601|240|27101902|5|NM|NYC-2502C0AL00139|NOM-116-SCFI-2018|3969.52|1845.38200|2026-01-13 14:57:04|
1680|6024601|240|27101902|2|NM|NYC-2402C0AL00123|NOM-116-SCFI-2018|5437.20|1907.84200|2026-01-13 14:57:04|
1680|6024606|240|27101902|2|C1||1702C126000027|2718.60|953.92100|2026-01-14 20:36:01|
1680|6024627|240|27101902|1|C1||1702C126000027|38005.84|16608.44300|2026-01-22 16:26:04|
1680|6024621|240|27101902|2|C1||1702C126000027|6004.66|2768.07400|2026-01-19 12:53:03|
1680|6024643|240|27101902|2|C1||1702C126000027|7888.82|3690.76500|2026-01-28 12:38:02|
1680|6024639|240|27101902|1|NM|NYC-2402C0AL00124|NOM-116-SCFI-2018|38834.25|18453.82500|2026-01-28 12:35:08|
1680|6024635|240|27101902|1|C1||1702C126000027|11542.48|4769.60400|2026-01-26 13:49:06|
1680|6024606|240|27101902|6|C1||1702C126000027|4367.44|953.92100|2026-01-14 20:36:01|
1680|6024615|240|27101902|3|NM|NYC-2402C0AL00272|NOM-116-SCFI-2018|5161.09|953.92100|2026-01-15 19:51:04|
1680|6024608|240|27101902|5|NM|NYC-2502C0AL00139|NOM-116-SCFI-2018|5954.28|2768.07300|2026-01-14 18:42:03|
1669|6900370|510|87032399|1|CP||25VEH001135/9901|5445070.00|286.00000|2026-01-03 09:35:00|
